RK,Player,Team,Position,AVG
397,Craig Reynolds,DET ,RB,364.5
398,Tyler Johnson,TB ,WR,338.0
399,Ihmir Smith-Marsette,MIN ,WR,339.0
400,Jake Ferguson,DAL ,TE,339.0
401,James Washington,DAL ,WR,366.5
402,Samori Toure,GB ,WR,341.0
403,Ben Skowronek,LAR ,WR,343.0
404,Quintez Cephus,DET ,WR,377.0
405,Jaret Patterson,WAS ,RB,371.0
406,Will Dissly,SEA ,TE,349.0
407,Laquon Treadwell,JAC ,WR,372.5
408,Jordan Akins,NYG ,TE,353.0
409,Jerrion Ealy,KC ,RB,354.0
410,Duke Johnson Jr.,BUF ,RB,375.0
411,Tylan Wallace,BAL ,WR,357.0
412,Charlie Kolar,BAL ,TE,357.0
413,Travis Fulgham,GB ,WR,358.0
414,DeeJay Dallas,SEA ,RB,359.0
415,Sincere McCormick,LV ,RB,359.0
416,Teddy Bridgewater,MIA ,QB,364.0
417,Derrick Gore,KC ,RB,379.0
418,Le'Veon Bell,FA ,RB,365.0
419,Chris Conley,HOU ,WR,365.0
420,N'Keal Harry,CHI ,WR,367.0
421,Jared Cook,FA ,TE,368.0
422,KhaDarel Hodge,ATL ,WR,368.0
423,Antonio Brown,FA ,WR,369.0
424,Emmanuel Sanders,FA ,WR,370.0
425,Tyler Huntley,BAL ,QB,370.0
426,Colby Parkinson,SEA ,TE,370.0
427,Anthony Schwartz,CLE ,WR,371.0
428,Tyrod Taylor,NYG ,QB,372.0
429,Jamal Agnew,JAC ,WR,373.0
430,Seth Williams,DEN ,WR,374.0
431,Trent Sherfield,MIA ,WR,375.0
432,Jordan Mason,SF ,RB,375.0
433,Devontae Booker,FA ,RB,377.0
434,Chigoziem Okonkwo,,TEN TE,377.0
435,Cole Turner,WAS ,TE,378.0
436,Dezmon Patmon,IND ,WR,379.0
437,Cole Beasley,FA ,WR,380.0
438,Justyn Ross,KC ,WR,381.0
439,Joe Flacco,NYJ ,QB,383.0
440,Derrick Deese Jr.,DET ,TE,386.0
441,Tyrell Williams,FA ,WR,387.0
442,Jalen Wydermyer,NE ,TE,388.0
443,Zonovan Knight,NYJ ,RB,389.0
444,Nick Vannett,NO ,TE,390.0
445,Kevin Harris,NE ,RB,390.0
446,Montrell Washington,DEN ,WR,391.0
447,Gunner Olszewski,PIT ,WR,392.0
