RK,Player,Team,Position,AVG,Min,Max
227,Trey Sermon,SF ,RB,229.4,174.0,285.0
228,Jerick McKinnon,KC ,RB,230.4,175.0,272.0
229,Laviska Shenault Jr.,JAC ,WR,230.6,208.0,247.0
230,Tyler Conklin,NYJ ,TE,231.2,190.0,258.0
231,William Fuller V,FA ,WR,231.8,205.0,268.0
232,Jamison Crowder,BUF ,WR,232.0,206.0,285.0
233,A.J. Green,ARI ,WR,232.2,212.0,261.0
234,Cincinnati Bengals,CIN ,DST,233.6,213.0,250.0
235,Robbie Gould,SF ,K,238.4,215.0,273.0
236,Philadelphia Eagles,PHI ,DST,241.2,211.0,278.0
237,Sammy Watkins,GB ,WR,241.8,151.0,309.0
238,Younghoe ,"Koo
                                            
                                            
                                                ",ATL K,241.8,181.0,300.0
239,Damien Williams,ATL ,RB,207.25,174.0,280.0
240,Jason Sanders,MIA ,K,244.6,204.0,284.0
241,Davis Mills,HOU ,QB,244.8,200.0,275.0
242,Harrison Butker,,KC K,208.25,181.0,218.0
243,Carson Wentz,WAS ,QB,246.6,202.0,284.0
244,Greg Zuerlein,NYJ ,K,247.4,181.0,292.0
245,Braxton Berrios,NYJ ,WR,248.2,206.0,301.0
246,Terrace Marshall Jr.,CAR ,WR,248.6,173.0,293.0
247,Baker Mayfield,CAR ,QB,249.2,172.0,320.0
248,Carolina Panthers,CAR ,DST,249.8,223.0,278.0
249,Chris Evans,CIN ,RB,216.5,158.0,272.0
250,Cedrick Wilson Jr.,MIA ,WR,253.4,206.0,293.0
251,Dustin Hopkins,LAC ,K,253.8,228.0,288.0
252,Byron Pringle,CHI ,WR,254.2,188.0,290.0
253,Tennessee Titans,TEN ,DST,255.0,211.0,292.0
254,Eno Benjamin,ARI ,RB,221.0,161.0,289.0
255,Boston Scott,PHI ,RB,256.4,174.0,313.0
256,Chuba Hubbard,CAR ,RB,257.0,192.0,313.0
257,Sterling Shepard,NYG ,WR,258.2,229.0,286.0
258,Brandon McManus,DEN ,K,258.6,233.0,287.0
259,Nelson Agholor,NE ,WR,260.2,212.0,333.0
260,Trey McBride,ARI ,TE,260.2,246.0,270.0
261,Wil Lutz,NO ,K,261.6,231.0,287.0
262,Chris Boswell,PIT ,K,261.6,250.0,300.0
263,Jake Elliott,PHI ,K,261.8,249.0,281.0
264,Ameer Abdullah,LV ,RB,231.0,120.0,358.0
265,Zach Wilson,NYJ ,QB,265.4,202.0,326.0
266,Jonnu Smith,NE ,TE,265.8,236.0,291.0
267,Nick Folk,NE ,K,235.0,202.0,292.0
268,Giovani Bernard,TB ,RB,235.25,158.0,361.0
269,Arizona Cardinals,ARI ,DST,269.4,248.0,307.0
270,Odell Beckham Jr.,FA ,WR,270.0,222.0,306.0
271,Mason Crosby,GB ,K,270.8,239.0,295.0
272,Dontrell Hilliard,TEN ,RB,191.66666666666666,187.0,199.0
273,Daniel Bellinger,NYG ,TE,244.75,232.0,256.0
274,Randall Cobb,GB ,WR,247.0,216.0,290.0
275,Kyle Philips,TEN ,WR,248.25,240.0,265.0
276,Rex Burkhead,HOU ,RB,251.75,196.0,283.0
277,Jason Myers,SEA ,K,281.4,224.0,308.0
278,Mike Davis,BAL ,RB,253.75,198.0,336.0
279,Dan Arnold,JAC ,TE,282.8,236.0,356.0
280,Ty Montgomery,NE ,RB,209.66666666666666,116.0,257.0
281,Minnesota Vikings,MIN ,DST,285.2,250.0,303.0
282,Kyle Rudolph,TB ,TE,287.2,273.0,294.0
283,Bryan Edwards,ATL ,WR,287.4,265.0,311.0
284,Kenyan Drake,FA ,RB,289.2,158.0,361.0
285,Chicago Bears,CHI ,DST,289.2,230.0,344.0
286,Hassan Haskins,TEN ,RB,265.75,199.0,327.0
287,C.J. Uzomah,NYJ ,TE,291.4,246.0,325.0
288,Ronald Jones II,KC ,RB,267.0,183.0,353.0
289,Cameron Brate,TB ,TE,271.5,209.0,340.0
290,Graham Gano,NYG ,K,296.2,281.0,309.0
291,Zack Moss,BUF ,RB,300.0,245.0,372.0
292,Adam Trautman,NO ,TE,300.6,232.0,339.0
293,Nick Westbrook-Ikhine,TEN ,WR,239.33333333333334,229.0,247.0
294,Harrison Bryant,CLE ,TE,279.0,236.0,313.0
295,Washington Commanders,WAS ,DST,303.0,279.0,323.0
296,Greg Joseph,MIN ,K,281.0,226.0,309.0
297,Marquez Callaway,NO ,WR,281.5,269.0,298.0
298,Jaylen Warren,PIT ,RB,250.0,238.0,274.0
299,Marcus Mariota,ATL ,QB,308.4,272.0,362.0
300,Cairo Santos,CHI ,K,308.8,289.0,326.0
301,Josh Reynolds,DET ,WR,291.5,261.0,367.0
302,Devin Duvernay,BAL ,WR,262.6666666666667,262.0,263.0
303,Greg Dulcich,DEN ,TE,298.25,260.0,339.0
304,Darius Slayton,NYG ,WR,317.2,271.0,357.0
305,New York Giants,NYG ,DST,318.4,305.0,342.0
306,Tommy Tremble,CAR ,TE,301.0,265.0,352.0
307,New York Jets,NYJ ,DST,301.5,278.0,314.0
308,Seattle Seahawks,SEA ,DST,319.8,293.0,351.0
309,Pierre Strong Jr.,NE ,RB,303.25,235.0,352.0
310,Myles Gaskin,MIA ,RB,321.6,189.0,367.0
311,Ke'Shawn Vaughn,TB ,RB,304.5,256.0,324.0
312,Matt Breida,NYG ,RB,307.25,257.0,360.0
313,Danny Gray,SF ,WR,307.25,261.0,365.0
314,Jalen Reagor,PHI ,WR,308.5,263.0,345.0
315,Velus Jones Jr.,CHI ,WR,310.0,293.0,356.0
316,Calvin Austin III,PIT ,WR,310.25,270.0,380.0
317,,"Ka'imi Fairbairn
                                            
                                            
                                                ",HOU K,311.5,290.0,324.0
318,James Proche II,BAL ,WR,284.6666666666667,268.0,304.0
319,Detroit Lions,DET ,DST,312.25,299.0,318.0
320,Isaiah Likely,BAL ,TE,285.6666666666667,258.0,339.0
321,Trestan Ebner,CHI ,RB,286.6666666666667,217.0,384.0
322,Noah Brown,DAL ,WR,286.6666666666667,243.0,346.0
323,Quez Watkins,PHI ,WR,313.5,301.0,337.0
324,Phillip Lindsay,IND ,RB,291.3333333333333,257.0,321.0
325,John Bates,WAS ,TE,294.3333333333333,279.0,305.0
326,Kenny Pickett,PIT ,QB,333.8,298.0,363.0
327,Tyler Badie,BAL ,RB,320.75,310.0,327.0
328,Jacksonville Jaguars,JAC ,DST,320.75,314.0,329.0
329,Ty Johnson,NYJ ,RB,321.5,237.0,362.0
330,Jacoby Brissett,CLE ,QB,321.5,280.0,337.0
331,Tyquan Thornton,NE ,WR,300.3333333333333,263.0,347.0
332,Mitch Trubisky,PIT ,QB,337.4,308.0,363.0
333,Snoop Conner,JAC ,RB,301.0,277.0,316.0
334,Randy Bullock,TEN ,K,302.6666666666667,276.0,324.0
335,Anthony Firkser,ATL ,TE,338.8,255.0,367.0
336,O.J. Howard,BUF ,TE,339.4,273.0,384.0
337,Las Vegas Raiders,LV ,DST,326.25,297.0,344.0
338,Jauan Jennings,SF ,WR,305.3333333333333,304.0,306.0
339,Brett Maher,DAL ,K,263.5,249.0,278.0
340,Deonte Harty,NO ,WR,270.0,269.0,271.0
341,Juwan Johnson,NO ,TE,331.5,319.0,348.0
342,Khalil Shakir,BUF ,WR,312.0,263.0,374.0
343,Dyami Brown,WAS ,WR,334.0,285.0,359.0
344,Mack Hollins,LV ,WR,279.5,242.0,317.0
345,Jelani Woods,IND ,TE,318.6666666666667,267.0,349.0
