PlayerID,Player,Position,Tm,PassingYds,PassingAirYards,PassingYAC,PassingTD,Sacks,SackYards,Int,PassingAtt,Cmp,PassingFirstDown,PassingEPA,Passing2PC,RushingAtt,RushingYds,RushingTD,RushingFirstDown,RushingEPA,Rushing2PC,Receptions,Targets,ReceivingYards,ReceivingTDs,ReceivingAirYards,ReceivingYAC,ReceivingFirstDown,ReceivingEPA,Receiving2PC,TargetShare,AirYardsShare,WOPR,SpecialTeamsTD,FumblesLost,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
00-0032144,Melvin Gordon,RB,DEN,0,0,0,0,0,0,0,0,0,0,0.0,0,15,54,0,3,-2.393842,0,3,3,49,0,-2,51,3,2.9040442,0,0.078947365,-0.005376344,0.11465761,0,0,10.3,13.3,11.8
00-0032211,Tyler Lockett,WR,SEA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5,6,104,2,135,5,4,9.52648,0,0.25,0.45,0.69,0,0,22.4,27.4,24.9
00-0032268,Marcus Mariota,QB,ATL,147,227,63,1,5,37,0,25,14,7,-2.4800498,1,7,61,0,4,5.526579,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,17.98,17.98,17.98
00-0032392,Austin Hooper,TE,TEN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,7,0,7,0,1,2.284654,0,0.04347826,0.033980582,0.0890038,0,0,0.7,1.7,1.2
00-0032464,Kalif Raymond,WR,DET,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5,7,45,0,50,23,3,1.8353348,0,0.22580644,0.18382353,0.46738616,0,0,4.5,9.5,7.0
00-0032602,J.D. McKissic,RB,WAS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5,7,37,0,4,36,0,-4.9054937,0,0.1891892,0.011461319,0.2918067,0,0,3.7,8.7,6.2
00-0032688,Robby Anderson,WR,CAR,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,5,32,0,81,0,1,0.018829787,0,0.125,0.2382353,0.3542647,0,0,3.2,4.2,3.7
00-0032764,Derrick Henry,RB,TEN,0,0,0,0,0,0,0,0,0,0,0.0,0,28,102,2,7,1.9100833,0,2,2,30,0,12,18,1,2.633541,0,0.08695652,0.058252428,0.17121148,0,0,25.2,27.2,26.2
00-0032775,Demarcus Robinson,WR,BAL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,2,8,0,34,0,0,-2.3793914,0,0.074074075,0.13333334,0.20444444,0,0,0.8,1.8,1.3
00-0032897,Derek Watt,FB,PIT,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,1,0,-1,2,0,-0.53084826,0,0.019607844,-0.002754821,0.02748339,0,0,0.1,1.1,0.6
00-0032943,Riley Dixon,P,LA,12,6,6,0,0,0,0,1,1,1,2.6160583,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.48,0.48,0.48
00-0032950,Carson Wentz,QB,WAS,359,351,148,2,3,17,1,38,25,11,0.6536757,0,5,15,0,1,-1.6588906,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,21.86,21.86,21.86
00-0032980,Marcus Johnson,WR,NYG,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,3,35,0,22,13,1,2.612042,0,0.115384616,0.16058394,0.28548568,0,0,3.5,6.5,5.0
00-0033009,Tyler Boyd,WR,CIN,0,0,0,0,1,12,0,0,0,0,-2.6106572,0,0,0,0,0,0.0,0,3,4,32,0,6,21,2,1.7234904,0,0.11764706,0.052173913,0.21299233,0,0,3.2,6.2,4.7
00-0033040,Tyreek Hill,WR,MIA,0,0,0,0,0,0,0,0,0,0,0.0,0,2,13,0,1,0.70835185,0,7,7,47,0,32,15,3,1.863113,0,0.21875,0.14414415,0.4290259,0,0,6.0,13.0,9.5
00-0033045,Ezekiel Elliott,RB,DAL,0,0,0,0,0,0,0,0,0,0,0.0,0,22,78,0,3,-3.294636,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,7.8,7.8,7.8
00-0033090,Hunter Henry,TE,NE,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,5,54,0,35,25,4,4.174316,0,0.23809524,0.19125684,0.49102265,0,0,5.4,9.4,7.4
00-0033106,Jared Goff,QB,DET,229,290,116,0,2,18,1,35,19,9,-20.695974,0,3,7,0,0,-0.84182334,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,1,5.86,5.86,5.86
00-0033110,Tyler Higbee,TE,LA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,10,46,0,37,17,3,2.5378156,0,0.23809524,0.10882353,0.43331933,0,0,4.6,11.6,8.1
00-0033114,Mike Thomas,WR,CIN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,3,33,0,37,23,1,1.3016634,0,0.0882353,0.32173914,0.35757032,0,0,3.3,4.3,3.8
00-0033118,Kenyan Drake,RB,BAL,0,0,0,0,0,0,0,0,0,0,0.0,0,4,26,0,1,0.7226866,0,1,1,1,0,-2,3,0,-2.7019114,0,0.037037037,-0.007843138,0.05006536,0,0,2.7,3.7,3.2
00-0033119,Jacoby Brissett,QB,CLE,230,300,70,1,0,0,1,34,21,15,6.9874835,0,3,32,0,2,3.4211068,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,14.4,14.4,14.4
