RK,Player,Team,Position,AVG,MIN,MAX,STD DEV
245,Jake Elliott,PHI,K,248.8,233,274,8.9
246,JaMycal Hasty,JAC,RB,249.9,192,289,28.9
247,Irv Smith Jr.,MIN,TE,250.1,209,282,20.5
248,Julio Jones,TB,WR,250.7,226,304,28.2
249,Jordan Mason,SF,RB,254.4,227,309,20.0
250,Richie James Jr.,NYG,WR,254.6,186,363,38.2
251,Marvin Jones Jr.,JAC,WR,255.1,223,315,33.0
252,Josh Downs,FA,WR,237.8,173,301,49.4
253,Graham Gano,NYG,K,259.7,249,300,16.8
254,Tank Bigsby,FA,RB,226.2,120,327,81.8
255,Miami Dolphins,MIA,DST,260.3,210,278,25.7
256,Jason Myers,SEA,K,261.5,245,309,20.1
257,Albert Okwuegbunam,DEN,TE,262.3,236,282,15.1
258,Logan Thomas,WAS,TE,262.4,232,315,19.7
259,Mack Hollins,LV,WR,265.9,212,306,28.1
260,Robert Tonyan,GB,TE,267.1,246,294,14.3
261,Melvin Gordon III,FA,RB,258.2,197,377,41.4
262,Josh Reynolds,DET,WR,267.9,240,317,26.2
263,Kendre Miller,FA,RB,235.8,120,340,88.5
264,Kyren Williams,LAR,RB,268.1,227,325,33.8
265,Hassan Haskins,TEN,RB,268.3,235,318,26.5
266,Jalin Hyatt,FA,WR,250.9,150,302,49.1
267,C.J. Stroud,FA,QB,252.4,163,338,69.7
268,Jacksonville Jaguars,JAC,DST,272.1,213,330,27.7
269,Odell Beckham Jr.,FA,WR,264.2,223,293,24.3
270,KJ Hamler,DEN,WR,274.3,244,365,28.3
271,Tyrion Davis-Price,SF,RB,274.6,236,331,27.4
272,Kendrick Bourne,NE,WR,277.7,240,359,31.0
273,Greg Joseph,MIN,K,278.5,276,281,2.4
274,Wil Lutz,NO,K,279.9,256,288,7.7
275,Zach Evans,FA,RB,237.6,127,333,80.8
276,Jonnu Smith,NE,TE,280.2,260,305,15.4
277,Tim Patrick,DEN,WR,280.9,242,368,33.4
278,Carolina Panthers,CAR,DST,281.5,258,303,10.4
279,Kenyan Drake,BAL,RB,281.6,245,323,26.6
280,Jimmy Garoppolo,SF,QB,282.1,241,353,35.2
281,Laviska Shenault Jr.,CAR,WR,282.5,262,346,24.7
282,Quez Watkins,PHI,WR,282.9,263,328,18.6
283,Dustin Hopkins,LAC,K,283.9,251,292,12.8
284,Jarvis Landry,NO,WR,268.2,244,301,17.2
285,Greg Zuerlein,NYJ,K,285.9,254,298,9.6
286,Jordan Love,GB,QB,289.7,172,391,61.4
287,Tennessee Titans,TEN,DST,289.9,250,318,19.4
288,Brett Maher,DAL,K,290.1,252,332,20.0
289,Latavius Murray,DEN,RB,283.3,236,336,24.0
290,Kayshon Boutte,FA,WR,264.4,208,306,38.9
291,Devin Duvernay,BAL,WR,283.4,265,335,18.2
292,Austin Hooper,TEN,TE,291.7,258,348,23.7
293,Desmond Ridder,ATL,QB,293.0,254,387,44.5
294,Brock Purdy,SF,QB,286.6,238,334,26.3
295,Chris Boswell,PIT,K,298.4,290,304,4.8
296,Jerome Ford,CLE,RB,298.9,272,358,27.9
297,Rodrigo Blankenship,FA,K,294.9,223,324,30.4
298,New York Giants,NYG,DST,302.9,278,314,8.1
299,Darrell Henderson Jr.,FA,RB,292.3,238,375,33.2
300,Chosen Anderson,FA,WR,300.1,247,378,39.2
301,Boston Scott,PHI,RB,301.1,259,364,37.0
302,Sean Tucker,FA,RB,276.2,147,355,76.3
303,Eno Benjamin,NO,RB,302.4,256,383,30.6
304,Ka'imi Fairbairn,HOU,K,309.2,297,326,9.1
305,Arizona Cardinals,ARI,DST,309.7,266,326,18.2
306,Mason Crosby,GB,K,304.2,287,316,9.1
307,Dontrell Hilliard,TEN,RB,310.7,272,381,34.8
308,Khalil Shakir,BUF,WR,236.3,187,311,41.7
309,Seattle Seahawks,SEA,DST,312.6,300,323,5.9
310,Minnesota Vikings,MIN,DST,314.3,278,330,15.8
311,Nick Westbrook-Ikhine,TEN,WR,311.1,285,351,21.7
312,Detroit Lions,DET,DST,313.6,302,345,10.3
313,Justin Jackson,DET,RB,320.1,291,365,18.7
314,Chris Evans,CIN,RB,316.2,272,363,19.9
315,Braxton Berrios,FA,WR,316.9,271,385,37.1
316,Matt Breida,NYG,RB,317.5,274,362,24.3
317,Michael Mayer,FA,TE,262.1,167,325,55.9
318,Israel Abanikanda,FA,RB,307.6,238,359,39.0
319,Darrel Williams,ARI,RB,320.6,280,358,26.4
320,Cairo Santos,CHI,K,322.6,314,332,4.5
321,Jamison Crowder,BUF,WR,317.6,270,382,38.4
322,Riley Patterson,JAC,K,303.8,297,324,9.6
323,Kenny Golladay,FA,WR,312.9,286,394,33.7
324,Tyler Conklin,NYJ,TE,271.4,232,321,26.8
325,Will Levis,FA,QB,314.2,241,377,42.7
326,Nelson Agholor,NE,WR,323.5,298,379,31.5
327,Rashee Rice,FA,WR,252.8,226,317,32.3
328,Rex Burkhead,HOU,RB,320.4,277,383,29.7
329,Roschon Johnson,FA,RB,233.0,143,353,89.9
330,Jameis Winston,NO,QB,341.9,312,387,21.0
331,Mark Ingram II,NO,RB,329.3,281,387,34.3
332,Marlon Mack,DEN,RB,340.2,311,387,23.2
333,Salvon Ahmed,MIA,RB,342.1,314,392,22.9
334,Foster Moreau,LV,TE,308.6,282,350,21.1
335,Cedric Tillman,FA,WR,281.7,242,328,29.9
336,DeWayne McBride,FA,RB,259.2,161,374,81.9
337,Myles Gaskin,MIA,RB,328.2,301,368,18.1
338,Ty Johnson,NYJ,RB,341.2,310,392,28.3
339,Baker Mayfield,LAR,QB,338.3,304,385,28.2
340,Deuce Vaughn,FA,RB,268.8,176,359,64.7
341,Noah Brown,DAL,WR,306.3,285,350,20.4
342,DeeJay Dallas,SEA,RB,341.0,306,386,22.6
343,Anthony Richardson,FA,QB,310.7,241,367,38.1
344,Greg Dortch,ARI,WR,276.8,223,385,57.7
345,Ronald Jones II,KC,RB,338.4,318,376,14.8
346,Marvin Mims,FA,WR,287.4,226,361,53.8
347,Jake Ferguson,DAL,TE,318.7,256,366,36.8
348,Tyjae Spears,FA,RB,132.0,88,176,44.0
349,Brevin Jordan,HOU,TE,309.8,299,335,13.2
350,Kenny McIntosh,FA,RB,312.5,235,361,38.0
351,Evan Hull,FA,RB,155.5,84,227,71.5
352,Deon Jackson,IND,RB,343.9,329,393,20.1
353,Keaontay Ingram,ARI,RB,301.8,238,358,42.5
354,Tyler Davis,FA,K,302.2,250,326,27.1
355,Jalen Tolbert,DAL,WR,304.0,286,324,14.2
356,Carson Wentz,FA,QB,351.7,328,396,23.6
357,Randy Bullock,FA,K,321.8,308,342,12.3
358,Michael Badgley,DET,K,323.8,316,339,8.7
359,Chicago Bears,CHI,DST,328.5,307,347,16.0
360,Eric Gray,FA,RB,317.8,259,363,33.7
361,Ben Skowronek,LAR,WR,318.6,293,340,17.3
362,Mohamed Ibrahim,FA,RB,303.5,238,382,63.1
363,Adam Trautman,NO,TE,345.0,334,359,7.9
364,Harrison Bryant,CLE,TE,337.0,305,364,18.9
365,Dalton Kincaid,FA,TE,338.3,319,366,15.1
366,Trestan Ebner,CHI,RB,310.8,176,372,78.8
367,Puka Nacua,FA,WR,232.0,203,261,29.0
368,Parker Washington,FA,WR,318.8,263,379,53.1
369,Xavier Hutchinson,FA,WR,319.3,206,389,68.5
370,Will Dissly,SEA,TE,346.3,339,356,6.0
371,Kevin Harris,NE,RB,296.3,289,311,10.4
372,Jeremy Ruckert,NYJ,TE,321.8,246,352,43.8
373,Kylen Granson,IND,TE,346.8,319,383,19.5
374,Ameer Abdullah,LV,RB,337.6,312,388,26.3
375,Kyle Philips,TEN,WR,339.8,304,373,28.8
376,Jordan Akins,HOU,TE,350.2,335,380,16.1
377,Mo Alie-Cox,IND,TE,357.6,336,368,11.5
378,Olamide Zaccheaus,ATL,WR,344.0,328,369,13.8
379,Sam Darnold,CAR,QB,345.2,316,386,23.5
380,Luke Musgrave,FA,TE,346.8,343,351,3.2
381,Noah Gray,KC,TE,347.4,305,371,23.8
382,Tutu Atwell,LAR,WR,350.0,311,374,25.8
383,Velus Jones Jr.,CHI,WR,351.2,333,375,14.7
384,Darnell Washington,FA,TE,342.5,291,365,30.1
385,Ty Chandler,MIN,RB,325.3,239,376,61.4
386,Marquez Callaway,NO,WR,354.4,333,390,22.1
387,Tommy Tremble,CAR,TE,355.8,341,376,14.7
388,C.J. Uzomah,NYJ,TE,363.0,352,371,7.7
389,Jauan Jennings,SF,WR,356.6,342,373,10.9
390,Houston Texans,HOU,DST,346.8,331,355,9.6
391,Matt Ryan,IND,QB,347.3,328,382,20.8
392,Chris Moore,HOU,WR,359.4,306,383,27.7
393,Demarcus Robinson,BAL,WR,359.6,339,378,14.7
394,T.Y. Hilton,DAL,WR,360.4,311,395,30.6
395,Zach Wilson,NYJ,QB,351.8,338,379,16.1
396,Kene Nwangwu,MIN,RB,309.0,233,385,76.0
397,Las Vegas Raiders,LV,DST,338.3,329,345,6.8
398,Donald Parham Jr.,LAC,TE,362.0,354,389,13.5
399,James Mitchell,DET,TE,365.6,297,389,34.7
400,Dyami Brown,WAS,WR,365.6,341,395,18.9
401,Cedrick Wilson Jr.,MIA,WR,365.6,351,374,8.8
402,Cameron Brate,FA,TE,365.8,346,376,11.4
403,Danny Gray,SF,WR,348.3,301,377,33.7
404,Jarrett Stidham,LV,QB,360.8,317,387,26.8
405,Travis Homer,SEA,RB,366.0,332,391,22.2
406,Brock Wright,DET,TE,372.4,331,393,23.1
407,Trent Sherfield,MIA,WR,336.5,304,369,32.5
408,Caleb Huntley,ATL,RB,358.3,336,382,18.8
409,Kalif Raymond,DET,WR,374.2,365,390,8.7
410,Cade York,CLE,K,340.5,339,342,1.5
411,Chase McLaughlin,IND,K,346.0,339,353,7.0
412,Jacoby Brissett,CLE,QB,348.0,316,380,32.0
413,Sony Michel,FA,RB,351.5,336,367,15.5
414,Malik Willis,TEN,QB,351.5,341,362,10.5
415,Andy Dalton,NO,QB,368.0,315,397,37.5
416,DeAndre Carter,LAC,WR,383.0,369,396,9.4
417,Sammy Watkins,BAL,WR,363.5,360,367,3.5
418,Tre'Quan Smith,NO,WR,365.0,339,391,26.0
419,Tre' McKitty,LAC,TE,382.5,375,388,5.0
420,Equanimeous St. Brown,CHI,WR,371.0,356,386,15.0
421,Tylan Wallace,BAL,WR,379.7,372,384,5.4
422,Mike White,NYJ,QB,373.5,365,382,8.5
423,Snoop Conner,JAC,RB,376.5,372,381,4.5
424,Justyn Ross,KC,WR,380.5,371,390,9.5
425,Cole Turner,WAS,TE,380.5,371,390,9.5
426,Dan Arnold,JAC,TE,386.7,381,394,5.4
427,Craig Reynolds,DET,RB,382.5,379,386,3.5
