RK,Player,Team,Position,AVG,MIN,MAX,STD DEV
292,Brett Maher,DAL,K,287.9,249,332,22.6
293,Jarvis Landry,NO,WR,280.6,247,303,15.8
294,Michael Mayer,FA,TE,216.8,144,294,50.2
295,Sean Tucker,FA,RB,265.9,146,349,77.2
296,Dustin Hopkins,LAC,K,286.5,253,298,10.5
297,Boston Scott,PHI,RB,296.4,245,363,37.9
298,Tennessee Titans,TEN,DST,290.5,250,303,15.6
299,Khalil Shakir,BUF,WR,228.3,167,311,39.3
300,New York Giants,NYG,DST,300.9,278,314,10.5
301,Chosen Anderson,FA,WR,301.1,261,369,29.1
302,Nick Westbrook-Ikhine,TEN,WR,302.5,269,341,21.6
303,Darrell Henderson Jr.,FA,RB,296.5,237,374,32.9
304,Chris Boswell,PIT,K,299.3,290,309,5.5
305,Eno Benjamin,NO,RB,299.8,259,327,20.7
306,Israel Abanikanda,FA,RB,293.1,198,351,47.4
307,Dontrell Hilliard,TEN,RB,315.1,272,393,33.5
308,Tyler Conklin,NYJ,TE,260.9,208,335,34.4
309,Seattle Seahawks,SEA,DST,310.6,290,323,8.4
310,Justin Jackson,DET,RB,316.7,278,359,19.1
311,Chris Evans,CIN,RB,314.1,272,344,15.5
312,Braxton Berrios,FA,WR,301.0,270,373,31.1
313,Ka'imi Fairbairn,HOU,K,308.5,297,326,9.3
314,Rodrigo Blankenship,FA,K,301.4,224,324,25.7
315,Detroit Lions,DET,DST,309.6,264,345,16.4
316,Darrel Williams,ARI,RB,316.0,280,356,22.4
317,Arizona Cardinals,ARI,DST,312.7,266,324,14.9
318,Mason Crosby,GB,K,306.2,288,316,8.4
319,Will Levis,FA,QB,307.3,215,379,50.0
320,Minnesota Vikings,MIN,DST,316.5,278,330,12.9
321,Matt Breida,NYG,RB,325.4,283,364,23.0
322,Rashee Rice,FA,WR,230.5,194,315,43.3
323,Kenny Golladay,FA,WR,315.0,270,394,40.2
324,Jameis Winston,NO,QB,328.3,258,372,30.6
325,Riley Patterson,JAC,K,301.3,297,317,6.2
326,Foster Moreau,LV,TE,297.1,217,360,41.8
327,Nelson Agholor,NE,WR,322.6,302,374,27.5
328,Cairo Santos,CHI,K,322.8,314,336,5.4
329,Salvon Ahmed,MIA,RB,331.3,301,380,21.5
330,Cedric Tillman,FA,WR,255.7,221,317,37.9
331,Jamison Crowder,BUF,WR,326.5,286,390,38.3
332,Roschon Johnson,FA,RB,230.8,145,337,83.3
333,Marlon Mack,DEN,RB,336.7,303,387,21.3
334,Deuce Vaughn,FA,RB,243.8,170,358,64.4
335,Baker Mayfield,LAR,QB,328.0,284,384,26.2
336,DeWayne McBride,FA,RB,251.4,166,359,77.8
337,Mark Ingram II,NO,RB,332.0,283,405,35.4
338,Marvin Mims,FA,WR,253.6,176,338,58.9
339,Anthony Richardson,FA,QB,299.1,205,339,46.4
340,Rex Burkhead,HOU,RB,336.6,300,411,28.4
341,Ronald Jones II,KC,RB,335.4,316,373,17.1
342,Noah Brown,DAL,WR,287.3,257,328,23.9
343,Ty Johnson,NYJ,RB,343.2,306,406,28.7
344,Kenny McIntosh,FA,RB,291.5,217,354,42.4
345,Myles Gaskin,MIA,RB,334.7,312,363,15.3
346,Jake Ferguson,DAL,TE,308.9,244,343,37.7
347,Carson Wentz,FA,QB,343.3,278,396,31.6
348,DeeJay Dallas,SEA,RB,344.2,311,381,21.4
349,Greg Dortch,ARI,WR,286.8,236,385,51.8
350,Tyjae Spears,FA,RB,131.0,85,177,46.0
351,Dalton Kincaid,FA,TE,322.9,275,389,36.5
352,Keaontay Ingram,ARI,RB,296.4,216,355,48.5
353,Evan Hull,FA,RB,147.5,82,213,65.5
354,Eric Gray,FA,RB,300.2,261,356,34.9
355,Deon Jackson,IND,RB,355.2,335,454,36.2
356,Michael Badgley,DET,K,325.2,316,347,11.2
357,Brevin Jordan,HOU,TE,325.8,305,343,12.4
358,Xavier Hutchinson,FA,WR,312.4,154,384,82.8
359,Puka Nacua,FA,WR,188.0,152,224,36.0
360,Mohamed Ibrahim,FA,RB,320.6,225,431,80.2
361,Noah Gray,KC,TE,314.6,265,350,31.9
362,Randy Bullock,FA,K,317.8,308,332,9.1
363,Tyler Davis,FA,K,318.8,252,396,46.5
364,Matt Ryan,IND,QB,319.2,255,386,47.5
365,Olamide Zaccheaus,ATL,WR,320.0,275,349,26.6
366,Parker Washington,FA,WR,272.3,225,333,45.1
367,Luke Musgrave,FA,TE,336.5,281,385,31.0
368,Darnell Washington,FA,TE,328.8,202,414,69.2
369,Ben Skowronek,LAR,WR,308.3,283,343,22.4
370,Kevin Harris,NE,RB,315.8,274,421,61.3
371,Harrison Bryant,CLE,TE,340.7,297,370,23.0
