Player,Team,Pos,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,PassingAtt,PassingCmp,PassingYds,PassingTD,TotalInt,TotalSacks,Int,FumblesRecovered,FumblesForced,DefensiveTDs,SafetysForced,PointsAllowed,YardsAgainst,FieldGoalsMade,FieldGoalsAttempted,ExtraPointsMade
Ty'Son Williams,IND,RB,13.6,64.8,0.4,2.5,20.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rico Dowdle,DAL,RB,13.2,56,0.3,3.9,30.6,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kylin Hill,GB,RB,11.2,43.6,0.1,6.6,49.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Funk,LAR,RB,9.6,49.9,0.4,3,21.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justice Hill,BAL,RB,11,45.8,0.4,3.4,22.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Rountree III,LAC,RB,12.4,52.1,0.5,2.3,17.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trenton Cannon,TEN,RB,10.4,21,0.1,5.9,51.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Smith,ATL,RB,8.1,24.1,0.2,6.9,44.9,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Williams,NYG,RB,11.2,53.9,0.4,1.8,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Chandler,MIN,RB,16,60.7,0.1,4,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Burton,KC,RB,5.8,30,0.3,3.4,20.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec Ingold,MIA,RB,4.3,14.1,0.1,5.3,41.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Beck,DEN,RB,4.7,18.8,0.2,4.4,33,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakob Johnson,LV,RB,4,16.5,0.2,4.4,32.7,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanni Ricci,CAR,RB,4.5,18.1,0.1,4.1,31.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Johnson,NYJ,RB,5.4,22.4,0.1,3.8,29.6,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La'Mical Perine,NYJ,RB,4.3,17.3,0.2,3.9,26.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
