,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
160,Jason Huntley,PHI,RB,2.9,12.6,0.1,1.1,7.9,0.1,0.1,0.0,0.0,0,0.0,0.0
161,Gabe Nabers,LAC,RB,4.4,14.1,0.1,1.1,3.0,0.1,0.0,0.0,0.0,0,0.0,0.0
162,Josh Hokit,ARI,RB,0.0,2.2,0.0,0.9,5.3,0.0,0.0,0.0,0.0,0,0.0,0.0
163,John Lovett,MIA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
164,Spencer Brown,BUF,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
165,John Kelly Jr.,CLE,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
166,Gerrid Doaks,MIA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
167,Nate McCrary,BAL,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
168,Taiwan Jones,BUF,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
169,Salvon Ahmed,MIA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
170,Malik Davis,DAL,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
171,Jonathan Williams,WAS,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
172,Reggie Bonnafon,WAS,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
173,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
174,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Cooper Kupp,LAR,WR,4.1,23.9,0.1,121.8,"1,593.8",12.4,0.6,0.0,0.0,0,0.0,0.0
2,Ja'Marr Chase,CIN,WR,8.5,49.9,0.2,91.7,"1,417.5",10.5,0.6,0.0,0.0,0,0.0,0.0
3,Justin Jefferson,MIN,WR,3.1,16.0,0.0,103.2,"1,506.8",9.6,0.6,0.0,0.0,0,0.0,0.0
4,Deebo Samuel,SF,WR,66.2,376.2,4.7,70.7,"1,052.8",6.1,0.7,0.0,0.0,0,0.0,0.0
5,Davante Adams,LV,WR,0.0,0.0,0.0,106.4,"1,322.2",9.2,0.5,0.0,0.0,0,0.0,0.0
6,Stefon Diggs,BUF,WR,0.2,2.0,0.0,102.1,"1,256.9",8.9,0.5,0.0,0.0,0,0.0,0.0
7,Mike Evans,TB,WR,0.2,1.4,0.0,82.7,"1,138.9",10.1,0.5,0.0,0.0,0,0.0,0.0
8,CeeDee Lamb,DAL,WR,6.0,45.0,0.1,91.1,"1,233.9",7.6,0.5,0.0,0.0,0,0.0,0.0
9,Tyreek Hill,MIA,WR,8.8,62.1,0.3,92.1,"1,149.4",8.0,0.5,0.0,0.0,0,0.0,0.0
10,Tee Higgins,CIN,WR,0.2,0.8,0.0,85.3,"1,195.2",7.8,0.5,0.0,0.0,0,0.0,0.0
11,A.J. Brown,PHI,WR,0.8,7.6,0.0,77.6,"1,134.6",8.1,0.5,0.0,0.0,0,0.0,0.0
12,Mike Williams,LAC,WR,0.0,0.2,0.0,74.6,"1,098.1",7.9,0.4,0.0,0.0,0,0.0,0.0
13,Michael Pittman Jr.,IND,WR,3.7,29.1,0.0,91.1,"1,126.7",6.6,0.6,0.0,0.0,0,0.0,0.0
14,DJ Moore,CAR,WR,5.6,37.7,0.1,87.0,"1,146.7",5.6,0.6,0.0,0.0,0,0.0,0.0
15,Brandin Cooks,HOU,WR,2.6,18.5,0.1,92.7,"1,119.8",6.2,0.5,0.0,0.0,0,0.0,0.0
16,Keenan Allen,LAC,WR,0.4,1.8,0.0,99.6,"1,086.5",6.9,0.5,0.0,0.0,0,0.0,0.0
17,Gabriel Davis,BUF,WR,0.0,0.0,0.0,61.5,960.9,8.8,0.1,0.0,0.0,0,0.0,0.0
18,DK Metcalf,SEA,WR,0.4,2.2,0.0,78.5,"1,057.2",6.8,0.6,0.0,0.0,0,0.0,0.0
19,Diontae Johnson,PIT,WR,4.2,31.7,0.1,94.8,"1,045.6",6.1,1.0,0.0,0.0,0,0.0,0.0
20,Terry McLaurin,WAS,WR,0.4,4.6,0.0,78.5,"1,071.2",5.9,0.4,0.0,0.0,0,0.0,0.0
21,Courtland Sutton,DEN,WR,0.2,0.6,0.0,70.8,"1,004.2",6.8,0.5,0.0,0.0,0,0.0,0.0
22,Jaylen Waddle,MIA,WR,3.3,19.1,0.3,89.5,999.1,6.1,0.6,0.0,0.0,0,0.0,0.0
23,Michael Thomas,NO,WR,0.2,-0.8,0.0,85.5,995.1,6.5,0.5,0.0,0.0,0,0.0,0.0
24,Amon-Ra St. Brown,DET,WR,6.6,46.6,0.4,87.6,951.3,6.0,0.5,0.0,0.0,0,0.0,0.0
25,Jerry Jeudy,DEN,WR,1.2,5.5,0.0,75.3,"1,024.6",5.8,0.6,0.0,0.0,0,0.0,0.0
26,Darnell Mooney,CHI,WR,5.0,26.1,0.2,77.9,"1,029.5",4.8,0.5,0.0,0.0,0,0.0,0.0
27,Tyler Lockett,SEA,WR,2.1,11.8,0.1,74.2,995.7,5.6,0.5,0.0,0.0,0,0.0,0.0
28,Chris Godwin,TB,WR,2.2,12.0,0.3,81.0,940.9,6.4,0.9,0.0,0.0,0,0.0,0.0
29,Elijah Moore,NYJ,WR,6.2,50.8,0.5,70.0,904.4,5.8,0.5,0.0,0.0,0,0.0,0.0
30,Marquise Brown,ARI,WR,2.0,12.9,0.1,75.0,963.3,5.7,0.6,0.0,0.0,0,0.0,0.0
31,Adam Thielen,MIN,WR,0.4,1.2,0.0,74.0,838.5,7.8,0.5,0.0,0.0,0,0.0,0.0
32,Amari Cooper,CLE,WR,0.2,0.6,0.0,75.2,945.1,5.8,0.5,0.0,0.0,0,0.0,0.0
33,JuJu Smith-Schuster,KC,WR,2.3,11.5,0.5,78.5,854.0,6.6,0.5,0.0,0.0,0,0.0,0.0
34,Allen Robinson II,LAR,WR,0.0,0.0,0.0,75.4,914.3,6.0,0.5,0.0,0.0,0,0.0,0.0
35,Hunter Renfrow,LV,WR,1.2,5.0,0.0,82.9,884.7,6.3,0.6,0.0,0.0,0,0.0,0.0
36,Robert Woods,TEN,WR,8.9,61.2,0.7,72.8,862.1,5.0,0.5,0.0,0.0,0,0.0,0.0
37,Rashod Bateman,BAL,WR,0.2,2.2,0.0,73.5,931.9,5.0,0.5,0.0,0.0,0,0.0,0.0
38,DeVonta Smith,PHI,WR,0.0,0.0,0.0,62.8,863.3,5.6,0.5,0.0,0.0,0,0.0,0.0
39,Chase Claypool,PIT,WR,8.7,52.4,0.2,63.8,852.3,4.6,0.5,0.0,0.0,0,0.0,0.0
