Player,Team,PassingAtt,Completions,PassingYds,PassingTD,Interceptions,RushingAtt,RushingYds,RushingTD,FumblesLost,Pos,Receptions,ReceivingYds,ReceivingTD
Kendrick Bourne,NE,0.0,0.0,0.0,0.0,0.0,5.3,34.8,0.2,0.2,WR,31.3,410.5,1.8
Joshua Palmer,LAC,0.0,0.0,0.0,0.0,0.0,0.5,1.8,0.0,0.1,WR,35.0,429.3,2.1
Logan Thomas,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,TE,44.0,421.3,2.2
Jerome Ford,CLE,0.0,0.0,0.0,0.0,0.0,91.6,337.0,1.7,0.6,RB,10.2,99.9,0.3
Wan'Dale Robinson,NYG,0.0,0.0,0.0,0.0,0.0,2.6,11.4,0.1,0.5,WR,34.9,429.7,1.8
Michael Mayer,LV,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.4,TE,37.8,394.4,2.6
Josh Reynolds,DET,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.2,WR,28.7,403.2,2.2
Nick Westbrook-Ikhine,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,WR,28.3,392.5,2.4
Ronald Jones II,DAL,0.0,0.0,0.0,0.0,0.0,77.3,346.3,2.1,0.6,RB,6.6,53.0,0.2
Kendre Miller,NO,0.0,0.0,0.0,0.0,0.0,84.3,301.6,1.6,0.8,RB,11.4,112.4,0.5
Marvin Mims Jr.,DEN,0.0,0.0,0.0,0.0,0.0,0.9,4.6,0.0,0.2,WR,26.8,400.0,2.0
Jake Ferguson,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,TE,35.1,352.0,2.7
Keaontay Ingram,ARI,0.0,0.0,0.0,0.0,0.0,72.6,297.0,1.8,0.4,RB,13.7,93.5,0.3
Jalin Hyatt,NYG,0.0,0.0,0.0,0.0,0.0,1.1,8.2,0.0,0.4,WR,28.8,397.1,1.8
Ben Skowronek,LAR,0.0,0.0,0.0,0.0,0.0,0.4,4.7,0.3,0.1,WR,37.6,387.3,1.5
Israel Abanikanda,NYJ,0.0,0.0,0.0,0.0,0.0,94.3,352.4,0.3,0.5,RB,0.0,130.8,0.1
Trey McBride,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,TE,35.7,378.1,2.0
Terrace Marshall Jr.,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,WR,25.4,406.2,1.5
Luke Musgrave,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.4,TE,33.7,355.0,2.3
Greg Dortch,ARI,0.0,0.0,0.0,0.0,0.0,5.8,42.8,0.1,0.5,WR,37.7,365.0,1.4
Latavius Murray,BUF,0.0,0.0,0.0,0.0,0.0,62.7,293.3,1.7,0.0,RB,10.3,75.1,0.2
Michael Wilson,ARI,0.0,0.0,0.0,0.0,0.0,0.5,5.5,0.0,0.2,WR,32.9,390.8,1.4
Tutu Atwell,LAR,0.0,0.0,0.0,0.0,0.0,7.1,34.6,0.4,0.2,WR,23.8,344.4,1.3
Richie James Jr.,KC,0.0,0.0,0.0,0.0,0.0,0.6,1.8,0.0,1.6,WR,26.8,352.6,2.2
