PlayerID,Player,Position,Tm,PassingYds,PassingAirYards,PassingYAC,PassingTD,Sacks,SackYards,Int,PassingAtt,Cmp,PassingFirstDown,PassingEPA,Passing2PC,RushingAtt,RushingYds,RushingTD,RushingFirstDown,RushingEPA,Rushing2PC,Receptions,Targets,ReceivingYards,ReceivingTDs,ReceivingAirYards,ReceivingYAC,ReceivingFirstDown,ReceivingEPA,Receiving2PC,TargetShare,AirYardsShare,WOPR,SpecialTeamsTD,FumblesLost,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
00-0034845,Sony Michel,RB,LAC,0,0,0,0,0,0,0,0,0,0,0.0,0,7,12,0,1,-1.8636351,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,1.2,1.2,1.2
00-0034854,KhaDarel Hodge,WR,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,3,38,0,25,13,1,1.7216843,0,0.09375,0.088652484,0.20268174,0,0,3.8,6.8,5.3
00-0034855,Baker Mayfield,QB,CAR,235,167,149,1,4,28,1,27,16,7,-1.618622,0,5,6,1,2,2.3008575,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,18.0,18.0,18.0
00-0034857,Josh Allen,QB,BUF,297,227,114,3,2,5,2,31,26,15,13.646458,0,10,56,1,4,5.867531,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,31.48,31.48,31.48
00-0034860,Dante Pettis,WR,CHI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,51,1,21,30,1,5.4421635,0,0.05882353,0.12962963,0.17897603,0,0,11.1,12.1,11.6
00-0034959,Andrew Beck,TE,DEN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,3,52,0,23,32,2,3.415273,0,0.07317073,0.08273381,0.16766977,0,0,5.2,7.2,6.2
00-0034960,Jakobi Meyers,WR,NE,0,0,0,0,0,0,0,0,0,0,0.0,0,1,7,0,1,0.548387,0,4,6,55,0,90,1,2,4.047171,0,0.2,0.32258064,0.5258064,0,0,6.2,10.2,8.2
00-0034970,Irv Smith,TE,MIN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,2,0,0,3,0,0,-0.6480776,0,0.06451613,0.018518519,0.10973716,0,0,0.0,0.0,0.0
00-0034972,Alexander Mattison,RB,MIN,0,0,0,0,0,0,0,0,0,0,0.0,0,8,36,0,2,0.23947279,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,3.6,3.6,3.6
00-0034975,Justice Hill,RB,BAL,0,0,0,0,0,0,0,0,0,0,0.0,0,2,4,0,0,-0.44836488,0,2,2,7,0,3,4,0,-0.38220736,0,0.06896552,0.008522728,0.10941418,0,0,1.1,3.1,2.1
00-0034983,Hunter Renfrow,WR,LV,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,6,21,0,31,7,2,-3.657362,0,0.17142858,0.09337349,0.3225043,0,0,2.1,5.1,3.6
00-0035021,Ashton Dulin,WR,IND,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,6,46,0,95,10,2,1.0744053,0,0.12244898,0.29780564,0.3921374,0,0,4.6,7.6,6.1
00-0035125,Alec Ingold,FB,MIA,0,0,0,0,0,0,0,0,0,0,0.0,0,1,2,0,1,0.531585,0,1,2,8,0,28,5,0,-0.9025265,0,0.06451613,0.10769231,0.17215881,0,0,1.0,2.0,1.5
00-0035140,Mecole Hardman,WR,KC,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,6,16,1,86,11,2,1.3320612,0,0.15384616,0.28289473,0.42879555,0,0,7.6,10.6,9.1
00-0035146,Trace McSorley,QB,ARI,12,17,4,0,1,8,0,4,2,1,-1.5098753,0,3,20,0,1,0.7450362,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,2.48,2.48,2.48
00-0035208,Olamide Zaccheaus,WR,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,4,49,0,39,10,1,-3.296279,0,0.125,0.13829787,0.28430852,0,1,2.9,6.9,4.9
00-0035215,Deonte Harty,WR,NO,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,4,0,-4,8,0,0.39420798,0,0.03125,-0.013422819,0.037479028,0,0,0.4,1.4,0.9
00-0035216,Diontae Johnson,WR,PIT,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,12,55,0,115,-2,2,-1.51368,0,0.3243243,0.3820598,0.75392836,0,0,5.5,12.5,9.0
00-0035222,Zach Gentry,TE,PIT,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,2,40,0,0,40,1,1.6097068,0,0.054054055,0.0,0.08108108,0,0,4.0,6.0,5.0
00-0035228,Kyler Murray,QB,ARI,193,250,111,2,2,18,0,34,22,11,0.24566081,1,5,29,0,1,0.5236584,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,20.62,20.62,20.62
00-0035229,T.J. Hockenson,TE,DET,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,7,38,0,42,23,3,-3.958439,0,0.1891892,0.13725491,0.37986222,0,0,3.8,7.8,5.8
